section,depth,median-dip,dip-direction-mean,IQR
10_1,7.932451297261803,,,
11_1,8.811269485976219,34.65622827995986,212.98030744795577,4.814822501562922
12_1,9.747861604127086,31.21438013725106,238.7378786575819,8.667942349743509
13_1,10.610357749952119,34.81777580164442,213.00781557743605,2.025387639195671
14_1,11.566161592553646,32.17096259576594,213.89040803719504,4.180798183919027
15_1,12.662183430388795,21.021100764115644,248.40046886560793,2.243286876884792
16_1,13.534969950882315,32.12904312757602,227.97604319193283,6.5764432829253145
18_1,15.318903483120549,24.02947514144757,219.13865138696568,2.3028706484450296
19_1,16.133482785711973,31.702934192572897,205.92436637617863,2.4112585613018176
1_1,0.37576613433924566,32.81055129993703,239.42842199295046,8.191006969929738
20_1,17.02252795230096,18.97201019062763,208.7155078085705,3.41288273638553
21_2,18.063689107855737,26.72442885131694,70.58892640127979,3.7637968366961054
22_1,18.996149355913964,24.50489550460947,71.86975805304174,7.089553112154011
23_1,19.872182437013727,33.712292576284305,53.323786287554555,3.9388257963805344
24_1,20.740618209863158,22.64941817030789,123.6660463476082,18.489558423156954
25_1,21.70650406268369,17.574390089950004,115.99809797945211,6.025098820935476
26_1,22.63390065875588,26.44285813260258,136.56827346168188,1.523103275876057
2_1,1.189948475426827,,,
4_2,2.944913734005386,,,
5_1,3.835623436608101,,,
7_1,5.156771427573761,34.9454570999105,226.3495120576301,2.1339790704271664
8_1,6.156338355592751,,,
9_1,7.076193670196676,,,
