depth,dip,dip_direction
8.874905502915283,75.5744283007761,357.29176441429945
10.874679266085353,72.16104226067291,342.9508832289748
11.881096503398098,75.89707511131424,333.13903802066653
12.911738802558226,76.75059573140517,325.0964453033734
13.931597569880003,68.58966059465854,340.12950511029624
14.866126160374387,72.51949209907917,218.36538170724123
15.662147387594004,64.17542367961849,329.7558818452182
16.611701547396056,75.26285300764499,346.81720838817307
17.634216409915695,71.57810591899025,350.99432747653566
18.379498009851435,,
19.04570549251935,73.06938601554323,1.6929204104969813
20.05228049306877,,
20.81103410121473,67.08118427685825,11.453900235956098
21.664348209997236,71.6371057901284,19.32910635673983
22.653714565890944,71.92129224534459,22.85116985235601
23.700467986976175,72.12463487718317,14.600767797169055
24.670443901471636,62.34004761101202,101.14335492363563
25.59119565981494,61.88652231544746,106.2286638510219
26.528369084641852,71.15116832016088,106.41005417513713
27.51296982604287,66.76813439081367,116.076994634205
28.540827428323098,75.02460525483725,99.47463032035228
29.263795640469787,,
30.141165813353926,65.47568791424014,89.3629952519342
31.156734107704374,67.341505521895,222.9457231043607
32.0715186178659,66.79778342503378,220.56201598444594
33.01235175979594,67.23458035011438,229.20983112416835
33.98615246484543,69.02612781618834,218.67260987455282
34.85278023861757,70.3894537180076,205.0346278536933
35.67862429864159,,
36.33652916471994,67.41843182220592,219.56285806070306
37.1882857191022,69.16587547497554,229.16799386661665
38.32160686071448,65.64856263066703,229.25729272962417
39.889707771839156,65.22519989302725,61.081206137909646
40.9139881956087,67.54075078749686,163.1861362013784
41.77900968195806,66.04873997459019,131.52115397258564
43.09071090880936,66.11055056471032,137.88982687313776
43.94225207713995,66.6246091848585,149.02509237919676
45.042582784213145,,
45.96872638853788,68.44365783401533,279.18990824962134
