section,depth,median-dip,dip-direction-mean,IQR
10,8.874905502915283,75.00958352061359,359.9851852912187,5.730834662060985
12,10.874679266085353,72.29248953757964,342.3778980421957,2.289267441287123
13,11.881096503398098,74.8241838000794,320.0290286506121,2.4268038886548027
14,12.911738802558226,75.38563325562487,317.7472230209932,3.315389744938585
15,13.931597569880003,68.10374087475178,338.5681896377522,6.258195302371028
16,14.866126160374387,63.999270913776456,269.5206334792156,18.784371134048115
17,15.662147387594004,63.799180662924606,331.97223450654144,2.7866460959668586
18,16.611701547396056,75.31077865972,341.2698486794302,1.0546313390447608
19,17.634216409915695,71.57303540687855,350.92650784141017,1.1524194950447253
20,18.379498009851435,70.56746509837812,52.473876614590864,6.803287659627131
21,19.04570549251935,72.90171630603473,6.365483329199121,2.3147818046258664
22,20.05228049306877,,,
23,20.81103410121473,67.09081636858241,11.967855702739886,0.963530375576255
24,21.664348209997236,71.30716688357552,17.4219645727989,2.0666766905966796
25,22.653714565890944,72.09157911551816,19.667735114110226,2.3264139038365528
26,23.700467986976175,71.63511420751043,12.926505682597693,3.7648265338336557
27,24.670443901471636,62.15347285062129,100.17456606869115,1.580678801647771
28,25.59119565981494,61.7548866059188,105.4532035250172,1.0534592364178081
29,26.528369084641852,71.1915799714006,105.84533584428553,1.0291196817816797
30,27.51296982604287,67.41747114891577,116.64570529348183,10.539394966964302
31,28.540827428323098,74.36584445956765,112.71207898958849,8.072332784142986
32,29.263795640469787,68.72846602661137,98.25189269880367,3.159416310527348
33,30.141165813353926,65.59175378349305,85.14472103415136,2.1939804138928167
34,31.156734107704374,66.37211031278764,206.59322201181635,5.258612795558911
35,32.0715186178659,67.92326733849119,218.07442173624952,11.007927020534055
36,33.01235175979594,67.43971563388317,228.17719748809444,2.2534455328808747
37,33.98615246484543,68.96385654376174,218.79407901640252,0.7172221048768819
38,34.85278023861757,70.4626677126204,205.70346217775054,1.761935181295982
39,35.67862429864159,,,
40,36.33652916471994,67.70812576912444,220.27245140405878,2.255076927898372
41,37.1882857191022,69.060498584356,230.33686090634828,1.3596131129071694
42,38.32160686071448,64.92661160472744,225.07696144049484,4.3781110364788915
46,39.889707771839156,65.4327029946942,59.54170053992533,0.6670429087748744
47,40.9139881956087,67.4351180871888,163.74267537143905,0.901355410091611
48,41.77900968195806,66.19837193960716,143.5600919367177,2.0271151477487592
49,43.09071090880936,66.25868247285527,139.27753603855092,1.183248785109356
50,43.94225207713995,66.68288980823864,147.3492620102408,1.9904301477170634
51_2,45.042582784213145,,,
52_1,45.96872638853788,68.39928239106152,278.7431268315271,1.5693006065655908
